"متخاصم", "Adversary"
"عامل‌های", "Agents"
"عامل‌ها", "Agents}:"
"پیشنهاد‌دهنده", "Algorand uses ``Leader""
"ناهمگامی", "Asynchronous"
"خودمختار", "Autonomous"
"دسترس‌پذیری", "Availability"
"سازگاری عقب‌رو", "Backward Compatibility"
"الگوریتم اجماع دوتایی \BAStar", "Binary \BAStar"
"بیت‌کوین", "Bitcoin"
"پیشنهاده بهبود بیت‌کوین", "Bitcoin Imporvement Proposal"
"بلوک", "Block"
"پاداش بلوک", "Block Reward"
"حمله نگهداری بلوک", "Block Withholding Attack"
"بلاک‌چین", "Blockchain"
"همه‌پخشی می‌کند", "Broadcast"
"دشمن بیزانتین", "Byzantine Adversaries"
"توافق بیزانسی", "Byzantine Agreement Protocols"
"پروتکل‌های با تحمل خطای بیزانسی", "Byzantine Fault Talerant Protocols; More details at \rl{\ref{crypto:bft}}"
"اثر کربن", "Carbon Footprint"
"تمرکز", "Centralization"
"اتاق تسویه", "Clearing House"
"مخزن سکه", "Coin Base"
"کمیته‌های", "Committees"
"بازی با اطلاعات کامل", "Complete information game; More details at Appendix~\rl{\ref{app:game}}"
"پروتکل اجماع", "Consensus Protocol"
"ساقط", "Corrupt"
"رمزارزی", "Cryptocurrency"
"سرویس‌های نام دامنه", "DNS (Domain Name Services)"
"سختی", "Difficulty"
"گره هدایت‌کننده", "Director Node"
"هدایت‌کننده", "Directory"
"بازار‌های توزیع شده", "Distibuted Markets}:"
"دفترکل توزیع‌شده", "Distributed Public Ledger"
"سیستم‌های توزیع‌شده", "Distributed Systems"
"استراتژی غالب", "Dominant Strategy; More details at Appendix~\rl{\ref{app:game}}"
"استراتژی غالب", "Dominant Strategy}:"
"استراتژی مغلوب", "Dominated Strategy}:"
"بازی‌های ایستا}{Static Games}-\trans{پویا", "Dynamic Games}:"
"سازمانی", "Enterprise"
"دوره‌های زمانی تکرارشونده", "Epoch"
"جست‌وجوی فراگیر", "Exhaustive Search"
"افزونه‌ای", "Extension"
"واکشی", "Fetch"
"نهایی", "Final"
"کمیته‌نهایی", "Final Committee"
"شاخه", "Fork"
"کاملا-متصل", "Fully Connected"
"پروتکل‌های شایعه", "Gossip Protocols"
"چکیده", "Hash"
"هش-پوینتر", "Hash-pointer"
"درست‌کار", "Honest"
"مشخصه", "Identifier"
"بازی‌های بدون اطلاعات کامل", "Incomplete information game; More details at Appendix~\rl{\ref{app:game}}"
"بازی‌های با اطلاعات کامل}{Complete-information Hames}-\trans{بدون اطلاعات کامل", "Incomplete-information Games}:"
"ناسازگاری", "Inconsistency"
"شبکه‌های لایتنینگ", "Lightening Networks"
"نقدینگی", "Liquidity"
"حاضر بودن", "Liveness}."
"خط", "LoC; Line of Code"
"اجباری", "Mandatory"
"نگاشت", "Map"
"درخت مرکل", "Merkle Tree; More details at \rl{\ref{crypto:merkle-tree}}"
"ارسال پیام", "Message Passing"
"پرداخت‌های خرد", "Micro Payments"
"ماینرها", "Miner"
"استخراج", "Mining"
"استخرهای استخراج", "Mining Pools"
"نقطه تعادل نش", "Nash Equilibrium}:"
"نقاط تعادل نش", "Nash equilibria; More details at Appendix~\rl{\ref{app:game}}"
"گره‌های", "Nodes"
"غیرهمکار", "Non-cooperative"
"بازی‌های همکارانه}{Cooperative Games}-\trans{غیر همکارانه", "Non-cooperative Games}"
"بازی‌های با اطلاعات جامع}{Perfect Information Games}-\trans{بدون اطلاعات جامع", "Non-perfect information games}"
"تک‌شمار", "Nonce"
"زیرساخت کلید عمومی", "PKI (Public Key Infrastructure)"
"منفعت", "Payoff"
"همتا-به-همتا", "Peer to Peer"
"بدون مجوز", "Permissionless"
"پلاسما", "Plasma}."
"بازیکن", "Player"
"اثبات سهام", "PoS; Proof of Stake"
"اثبات کار", "PoW (Proof of Work)"
"دوراهی زندانی", "Prisoner's Dilemma; More details at \rl{\ref{game:prisoner-dilemma}}"
"پردازنده", "Processor"
"شبه گمنامی", "Pseudo Anonimity"
"بازی کالای عمومی", "Public Good Game"
"بازی کالای عمومی", "Public Good Game; More deatails at \rl{\ref{game:pgg}}"
"مکانیزم‌های تنبیهی", "Punishment Mechanisms"
"شبکه رِیدن", "Raiden Network"
"منطقی", "Rational"
"منطقی", "Rational"
"کاهش", "Reduce"
"کاهش", "Reduction"
"بازی‌های تکرارشونده", "Repeated Games}:"
"استخر پاداش", "Reward Pool"
"امنیت", "Safty}."
"«ساتوشی ناکاماتو»", "Satoshi Nakamoto"
"مقیاس‌ناپذیری", "Scalability"
"بذر", "Seed} رندم برای دوره‌های بعد:"
"شاهد مجزا", "Segregated Witness"
"خود محور", "Self-intrested"
"خودمحور", "Self-intrested"
"خودخواه", "Selfish"
"استخراج خودخواهانه", "Selfish Mining"
"گره‌های خودخواه", "Selfish Nodes"
"ارائه خدمت", "Service"
"تهاتر‌ شده", "Settled"
"بخش‌بندی‌شده", "Sharding"
"بخش‌های", "Shards"
"کانال‌های جانبی", "Side Channels}\text{خارج از بلاک‌چین}."
"قراردادهای هوشمند", "Smart Contracts"
"دارایی‌های هوشمند", "Smart Properties}:"
"استخراج تک‌نفره", "Solo Mining"
"قرعه‌کشی", "Sortition"
"رسید قرعه‌کشی", "Sortition Proof"
"سهام", "Stake"
"بازی ایستا", "Static Game"
"نقطه ثبات", "Steady State"
"تصادفی", "Stochastic Games; More details at Appendix~\rl{\ref{app:game}}"
"بازی‌های تصادفی", "Stochastic Games}:"
"‌مجموعه استراتژی‌ای", "Strategy Profile"
"اکیدا مغلوب", "Strictly Dominated; More details at Appendix~\rl{\ref{app:game}}"
"مجموعه همگامی قوی", "Strong Synchrony Set"
"قویا همگام", "Strongly Synchronous"
"پایداری", "Sustainability"
"نقطه تعادل نش متقارنی", "Symmetric Nash Equilibrium; More details at Appendix~\rl{\ref{app:game}}"
"نقطعه تعادل نش متقارن", "Symmetric Nash Equilibrium}:"
"غیرقطعی", "Tentative"
"مهر زمانی", "Timestamp"
"نشان", "Token"
"بده‌بستانی", "Trade Off"
"استخر کارمزد", "Transaction Fee Pool"
"چکش‌خواری تراکنش‌ها", "Transaction Malleability"
"استخر تراکنش", "Transaction Pool"
"دارایی‌های مجازی قابل  واگذاری", "Transferable Virtual Property}:"
"بریدن", "Truncate"
"بی‌اعتمادی", "Trustless Environments"
"به تنهایی", "Unilaterally"
"معتبر", "Valid"
"اعتبارسنجی", "Validation"
"وارسی", "Verfiy"
"شبکه ویزا", "VisaNet"
"همگامی ضعیف", "Weak Synchrony"
"زی‌کش", "ZCash"
"زیروکوین", "Zero Coin"
"اثبات‌های هیچ‌آگاهی", "Zero Knowledger Proof"
"بازی‌های مجموع صفر", "Zero-sum Games}:"
