\lr{English}, \rl{فارسی}
\lr{Adversary}, \rl{متخاصم}
\lr{Agents}, \rl{عامل‌ها}
\lr{Agents}, \rl{عامل‌های}
\lr{Algorand uses ``Leader"}, \rl{پیشنهاد‌دهنده}
\lr{Asynchronous}, \rl{ناهمگامی}
\lr{Autonomous}, \rl{خودمختار}
\lr{Availability}, \rl{دسترس‌پذیری}
\lr{Backward Compatibility}, \rl{سازگاری عقب‌رو}
\lr{Binary \BAStar}, \rl{الگوریتم اجماع دوتایی}
\lr{Bitcoin}, \rl{بیت‌کوین}
\lr{Bitcoin Imporvement Proposal}, \rl{پیشنهاده بهبود بیت‌کوین}
\lr{Block}, \rl{بلوک}
\lr{Block Reward}, \rl{پاداش بلوک}
\lr{Block Withholding Attack}, \rl{حمله نگهداری بلوک}
\lr{Blockchain}, \rl{بلاک‌چین}
\lr{Broadcast}, \rl{همه‌پخشی می‌کند}
\lr{Byzantine Adversaries}, \rl{دشمن بیزانتین}
\lr{Byzantine Agreement Protocols}, \rl{توافق بیزانسی}
\lr{Byzantine Fault Talerant Protocols}, \rl{پروتکل‌های با تحمل خطای بیزانسی}
\lr{Carbon Footprint}, \rl{اثر کربن}
\lr{Centralization}, \rl{تمرکز}
\lr{Clearing House}, \rl{اتاق تسویه}
\lr{Coin Base}, \rl{مخزن سکه}
\lr{Committees}, \rl{کمیته‌های}
\lr{Complete information game}, \rl{بازی با اطلاعات کامل}
\lr{Complete-information Hames}, \rl{بازی‌های با اطلاعات کامل}
\lr{Consensus Protocol}, \rl{پروتکل اجماع}
\lr{Cooperative Games}, \rl{بازی‌های همکارانه}
\lr{Corrupt}, \rl{ساقط}
\lr{Cryptocurrency}, \rl{رمزارزی}
\lr{DNS (Domain Name Services)}, \rl{سرویس‌های نام دامنه}
\lr{Difficulty}, \rl{سختی}
\lr{Director Node}, \rl{گره هدایت‌کننده}
\lr{Directory}, \rl{هدایت‌کننده}
\lr{Distibuted Markets}, \rl{بازار‌های توزیع شده}
\lr{Distributed Public Ledger}, \rl{دفترکل توزیع‌شده}
\lr{Distributed Systems}, \rl{سیستم‌های توزیع‌شده}
\lr{Dominant Strategy}, \rl{استراتژی غالب}
\lr{Dominant Strategy}, \rl{استراتژی غالب}
\lr{Dominated Strategy}, \rl{استراتژی مغلوب}
\lr{Dynamic Games}, \rl{پویا}
\lr{Enterprise}, \rl{سازمانی}
\lr{Epoch}, \rl{دوره‌های زمانی تکرارشونده}
\lr{Exhaustive Search}, \rl{جست‌وجوی فراگیر}
\lr{Extension}, \rl{افزونه‌ای}
\lr{Fetch}, \rl{واکشی}
\lr{Final}, \rl{نهایی}
\lr{Final Committee}, \rl{کمیته‌نهایی}
\lr{Fork}, \rl{شاخه}
\lr{Fully Connected}, \rl{کاملا-متصل}
\lr{Gossip Protocols}, \rl{پروتکل‌های شایعه}
\lr{Hash}, \rl{چکیده}
\lr{Hash-pointer}, \rl{هش-پوینتر}
\lr{Honest}, \rl{درست‌کار}
\lr{Identifier}, \rl{مشخصه}
\lr{Incomplete information game}, \rl{بازی‌های بدون اطلاعات کامل}
\lr{Incomplete-information Games}, \rl{بدون اطلاعات کامل}
\lr{Inconsistency}, \rl{ناسازگاری}
\lr{Lightening Networks}, \rl{شبکه‌های لایتنینگ}
\lr{Liquidity}, \rl{نقدینگی}
\lr{Liveness}, \rl{حاضر بودن}
\lr{LoC}, \rl{خط}
\lr{Mandatory}, \rl{اجباری}
\lr{Map}, \rl{نگاشت}
\lr{Merkle Tree}, \rl{درخت مرکل}
\lr{Message Passing}, \rl{ارسال پیام}
\lr{Micro Payments}, \rl{پرداخت‌های خرد}
\lr{Miner}, \rl{ماینرها}
\lr{Mining}, \rl{استخراج}
\lr{Mining Pools}, \rl{استخرهای استخراج}
\lr{Nash Equilibrium}, \rl{نقطه تعادل نش}
\lr{Nash equilibria}, \rl{نقاط تعادل نش}
\lr{Nodes}, \rl{گره‌های}
\lr{Non-cooperative}, \rl{غیرهمکار}
\lr{Non-cooperative Games}, \rl{غیر همکارانه}
\lr{Non-perfect information games}, \rl{بدون اطلاعات جامع}
\lr{Nonce}, \rl{تک‌شمار}
\lr{PKI (Public Key Infrastructure)}, \rl{زیرساخت کلید عمومی}
\lr{Payoff}, \rl{منفعت}
\lr{Peer to Peer}, \rl{همتا-به-همتا}
\lr{Perfect Information Games}, \rl{بازی‌های با اطلاعات جامع}
\lr{Permissionless}, \rl{بدون مجوز}
\lr{Plasma}, \rl{پلاسما}
\lr{Player}, \rl{بازیکن}
\lr{PoS}, \rl{اثبات سهام}
\lr{PoW (Proof of Work)}, \rl{اثبات کار}
\lr{Prisoner's Dilemma}, \rl{دوراهی زندانی}
\lr{Processor}, \rl{پردازنده}
\lr{Pseudo Anonimity}, \rl{شبه گمنامی}
\lr{Public Good Game}, \rl{بازی کالای عمومی}
\lr{Public Good Game}, \rl{بازی کالای عمومی}
\lr{Punishment Mechanisms}, \rl{مکانیزم‌های تنبیهی}
\lr{Raiden Network}, \rl{شبکه رِیدن}
\lr{Rational}, \rl{منطقی}
\lr{Rational}, \rl{منطقی}
\lr{Reduce}, \rl{کاهش}
\lr{Reduction}, \rl{کاهش}
\lr{Repeated Games}, \rl{بازی‌های تکرارشونده}
\lr{Reward Pool}, \rl{استخر پاداش}
\lr{Safty}, \rl{امنیت}
\lr{Satoshi Nakamoto}, \rl{«ساتوشی ناکاماتو»}
\lr{Scalability}, \rl{مقیاس‌ناپذیری}
\lr{Seed}, \rl{بذر}
\lr{Segregated Witness}, \rl{شاهد مجزا}
\lr{Self-intrested}, \rl{خود محور}
\lr{Self-intrested}, \rl{خودمحور}
\lr{Selfish}, \rl{خودخواه}
\lr{Selfish Mining}, \rl{استخراج خودخواهانه}
